"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","1995","1995","IDX","Index","0","Units","2015","2015",0.731783715214534,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","1996","1996","IDX","Index","0","Units","2015","2015",0.738982995498946,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","1997","1997","IDX","Index","0","Units","2015","2015",0.748356386190575,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","1998","1998","IDX","Index","0","Units","2015","2015",0.751708331927556,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","1999","1999","IDX","Index","0","Units","2015","2015",0.753705947501664,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2000","2000","IDX","Index","0","Units","2015","2015",0.763833072585593,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2001","2001","IDX","Index","0","Units","2015","2015",0.77851224459515,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2002","2002","IDX","Index","0","Units","2015","2015",0.787436982722165,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2003","2003","IDX","Index","0","Units","2015","2015",0.797689481777106,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2004","2004","IDX","Index","0","Units","2015","2015",0.811225992108188,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2005","2005","IDX","Index","0","Units","2015","2015",0.831759224257806,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2006","2006","IDX","Index","0","Units","2015","2015",0.847289435602804,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2007","2007","IDX","Index","0","Units","2015","2015",0.865735915725598,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2008","2008","IDX","Index","0","Units","2015","2015",0.88237496932392,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2009","2009","IDX","Index","0","Units","2015","2015",0.898979866682314,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2010","2010","IDX","Index","0","Units","2015","2015",0.906798724494688,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2011","2011","IDX","Index","0","Units","2015","2015",0.923349998258262,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2012","2012","IDX","Index","0","Units","2015","2015",0.942039888491512,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2013","2013","IDX","Index","0","Units","2015","2015",0.957211547108276,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2014","2014","IDX","Index","0","Units","2015","2015",0.977804875275861,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2015","2015","IDX","Index","0","Units","2015","2015",1.0000000000029,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2016","2016","IDX","Index","0","Units","2015","2015",1.01843912790239,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2017","2017","IDX","Index","0","Units","2015","2015",1.02846252389683,,
"AUT","Austria","PGDP","Gross domestic product, market prices, deflator","A","Annual","2018","2018","IDX","Index","0","Units","2015","2015",1.0470877079929,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","1995","1995","IDX","Index","0","Units","2015","2015",0.735363063110273,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","1996","1996","IDX","Index","0","Units","2015","2015",0.73887212730376,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","1997","1997","IDX","Index","0","Units","2015","2015",0.744467108279239,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","1998","1998","IDX","Index","0","Units","2015","2015",0.757912330659508,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","1999","1999","IDX","Index","0","Units","2015","2015",0.762444186419718,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2000","2000","IDX","Index","0","Units","2015","2015",0.777805080786569,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2001","2001","IDX","Index","0","Units","2015","2015",0.793233624218272,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2002","2002","IDX","Index","0","Units","2015","2015",0.806241554103894,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2003","2003","IDX","Index","0","Units","2015","2015",0.821154070786123,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2004","2004","IDX","Index","0","Units","2015","2015",0.836880332481828,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2005","2005","IDX","Index","0","Units","2015","2015",0.854311442254173,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2006","2006","IDX","Index","0","Units","2015","2015",0.873661952152699,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2007","2007","IDX","Index","0","Units","2015","2015",0.890535749458341,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2008","2008","IDX","Index","0","Units","2015","2015",0.907536464474713,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2009","2009","IDX","Index","0","Units","2015","2015",0.91237610204662,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2010","2010","IDX","Index","0","Units","2015","2015",0.9296384,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2011","2011","IDX","Index","0","Units","2015","2015",0.946438595828771,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2012","2012","IDX","Index","0","Units","2015","2015",0.964998338251941,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2013","2013","IDX","Index","0","Units","2015","2015",0.97726724358799,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2014","2014","IDX","Index","0","Units","2015","2015",0.986867173075133,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2015","2015","IDX","Index","0","Units","2015","2015",0.999997600203503,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2016","2016","IDX","Index","0","Units","2015","2015",1.01920470164463,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2017","2017","IDX","Index","0","Units","2015","2015",1.0378625697855,,
"BEL","Belgium","PGDP","Gross domestic product, market prices, deflator","A","Annual","2018","2018","IDX","Index","0","Units","2015","2015",1.05394464642855,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","1995","1995","IDX","Index","0","Units","2015","2015",0.559469916256029,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","1996","1996","IDX","Index","0","Units","2015","2015",0.615485277933806,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","1997","1997","IDX","Index","0","Units","2015","2015",0.666625925396753,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","1998","1998","IDX","Index","0","Units","2015","2015",0.731981656001789,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","1999","1999","IDX","Index","0","Units","2015","2015",0.754254936464537,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","2000","2000","IDX","Index","0","Units","2015","2015",0.768159465856048,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","2001","2001","IDX","Index","0","Units","2015","2015",0.805728486168743,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","2002","2002","IDX","Index","0","Units","2015","2015",0.827700921191969,,
"CZE","Czech Republic","PGDP","Gross domestic product, market prices, deflator","A","Annual","2003","2003","IDX","Index","0","Units","2015","2015",0.838391639299853,,
